name,description,coordinates,image_url,category,country,city,address,rating
Everglades National Park,OPERATIONAL,"25.2866155,-80.89865089999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ys4LazWoQ1Dm7AjLwy4-ZrN3FeLtf0tZKWAob1u2IEv_ZxrA5DqTg-6cEHkDCCGXHHgYGkw-JoWVM7QJaUNKV1lry_AVeDVZWyTsYktMZ7SAzfd_1KY-XwTBC-MNz0QB8VKZYWPPd2kIsvpcPo4OasX4VK5IdhwrCpg_dTZvK8MqpC&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",United States,,"Florida, United States",4.6
Archaeological site of Mycenae,OPERATIONAL,"37.7308631,22.7561327",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xgh7CDMcvIbN1oKrmpNMZx92bo9y8Ouk52zpu7EtY0mCiuxh9m7VXiVEOGscuYB_X6yPbbXf2JCtiWcsbj_2wGfjUBuGk7oxxILt0-7TrXYjkPez-9En9XCOZimCwXnYg5hzvkMG5Jrj8XkF1z5KRnRqWwreWQCcdkcCProFD_J-kZ&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Greece,,"Mykines 212 00, Greece",4.7
Canterbury Cathedral,OPERATIONAL,"51.2797971,1.0827998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27z5I-KGlnNTQ_t9jcF9Lag2x_Bu5JnATt6qqGgt9Xp4pxtqJAq_ixCzmab6IVFTJyqmtzSdNvc9wwkd3ZCBdK1uQPCPrBTdegWe2-KDbrxPFIam_mKe4S8zme0R9ZAXX6FwgpSKRL2DGbhmMGzUbqq_TLJg-J_7Gs9USklVHJDmmXHF&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, church, museum, place_of_worship, point_of_interest, store, establishment",United Kingdom,11 The Precincts,"Cathedral House, 11 The Precincts, Canterbury CT1 2EH, United Kingdom",4.6
Welcome to Fabulous Las Vegas Sign,OPERATIONAL,"36.0820727,-115.172779",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wibYGRPxh0prmzfr7zONw1Q3IRLMuHt6lQxD5sNmwTt5Xl_77u46lcIOdAJZee6kqz6GjBPKRj3wTLX_yCsvyg2AVXkCpZiJIFgSfQJtMOyslwoJYdUh016cRNdQhNWEqHJrR5k5DNROCJgXz8z4M2ntRUOR-7KXGcWcdnpsfBldUr&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United States,Las Vegas,"5100 Las Vegas Blvd S, Las Vegas, NV 89119, United States",4.6
Krak des Chevaliers,OPERATIONAL,"34.7568184,36.294681",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27z6WlNgIvTCkPqGmOQjDuLJZ30L_u1f0nqMQm2Y1QtAagDyZRuQFodsfmXa9r9wSgUAPjp5IEzF4RNRfH395LPHH8vR03FcBiNasJquXvslvIFfJvGhwpXlYXbpMC66UegD0AmBLVY2XaOGqH7h2iYyUwUxUscx0O7_ZpFiKl4gpHoM&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Syria,Q74V+PVF,"Q74V+PVF, al-Husn, Syria",4.6
Archaeological Site of Nea Paphos,OPERATIONAL,"34.7560431,32.4084714",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wE5xmXp0dzY_J-9xYuBsqsTnpzlK9MUCN08CJQ3W3WWA1-JC9JV77dKOTEArIznloKT7Gfb4L4PFY0hZqSF12Im1l2-jsUoVtjFG5ZCnc0o3qydaJHnsHHMc6UbFRFwRYcNNzyV7dLw3mOTEWwJlRAbpprjYEGiM33SVRQNvFOIcSA&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"museum, point_of_interest, establishment",Cyprus,QC45+C99,"QC45+C99, Paphos 8040, Cyprus",4.6
Marienplatz,OPERATIONAL,"48.1373932,11.5754485",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zPiGmO0_Ed34ty9pV8wR5Zy0lVTXJ78bucqJVuD7v2zwCsAC3TCM1T_0eOM8aQx676PfIE-J1nRM9AtXxSGvJt_inS0VQ7HwEV5mKr6UJYbzTON8yErCOWCCQQqqsJysHl36y9CGJvqlXilALSySeZK8RDAnSoLsPEsNYoSBZZ36zV&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Germany,Marienplatz,"Marienplatz, 80331 München, Germany",4.7
Monumento al canal de Panama,OPERATIONAL,"8.949380399999999,-79.5320399",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ywEzjrbD5XUZpLA2Vb8TpGeB384n--b0rBv4z8T1bdzuLaGQYM9HObbFKBwGb4FY3SXYjgybMptXCNeZnQEKh4JmLMQ50XRhtmNAKekAT7_BVbjAj5bPJ0BjrOhYcdDw4sq5WkIkzewXIw2E60ELSY-sFW52D6LFhIUJbmxhxdusa6&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Panama,Panamá,"Conjunto Monumental de Las Bóvedas, C. 5a, Panamá, Provincia de Panamá, Panama",4.5
Alcatraz Island,OPERATIONAL,"37.8269775,-122.4229555",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27w6gZkDn_MwAWnB5xr3eCQivqbI7QwPO5ktR2tZg2iY9aZNwPv5Nj9apfDrEjlGCzBBH_U6eZYCZ3_RkljQVsbZUGm4Zao-NK5qsIJDGYa--x5IjBg1IbiD0ALLfk5YvYn8r3NnRby0lNeqAm5Np1i50AR22mPx9t84n82RlyqYyZud&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United States,San Francisco,"San Francisco, CA 94133, United States",4.7
Old Town Berat,OPERATIONAL,"40.7058125,19.9499375",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wWhA1cI0xJdlFqGuPpGldHePkGQEI6LzMyR_Q_Q1kVRnfxxkbEuMcRFlUBbpnnY7dKPdokpE5emxnB4Fg2ERPrlY0tYDtPU_O4SgDnbqfPxaFOzYZDs723ngq7ruAHFmtTtMXdkKii29Wt7KIR38Cf1BtpFAeHmGNod-0cRpi42otb&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Albania,Rruga Kol Myzeqari,"PW4X+8XV Old Town, Rruga Kol Myzeqari, Berat 5001, Albania",4.7
