name,description,coordinates,image_url,category,country,city,address,rating
Table Mountain National Park,OPERATIONAL,"-34.2105673,18.3917506",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yQ2Qi7UhG2fzDNOpyEE0qfbC9euGOU9opQV9Yjdbo-y2l0Y8Y656HYdWUkurH0cUrQcNH0NXfqIJVE0oevpmr5USPo0IbiNghRXHRNyZaJl8-WRCAtGOHyG6R0Tl9tc62GGpzZkzbuupOTipJsIXBz465V6OXLMWjGflVdVzLAZ4OS&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"park, point_of_interest, establishment",South Africa,,"Cape Town, South Africa",4.7
Colosseum,OPERATIONAL,"41.8902102,12.4922309",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xBps2hN_cv-sflw9aTGrBkDBFMOVi10ur0PbNXGodoNE-NObd5dkPwrLzoOVyp_3ysyjJoXkB0zepON9ontJsR2zvy9rTerpRuHh-K7HLwafB9yYs3bi0QHMCaT6-fMWeY5Luk4N7XIgvLrboiE6YNGb2-TQAzPkBjgMN3nL3S8d4&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Italy,1,"Piazza del Colosseo, 1, 00184 Roma RM, Italy",4.7
The Blue Mosque,OPERATIONAL,"41.0054096,28.9768138",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yvppItTlLft61YhaQrUuitg9KvRKbEQsIK2iXGPIJst2cFWFuo5TkipnkdqC47fZv9lEzRb4_y84dlP8PsVINCvzbjIGxkuq7DoGnX10wA0x3U8s0GHwCVbrV4uzE3IYhLTrPb7v6zTxQZ0yuGUXoJKNWH4tUDdlNEpgKD87yG216z&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"mosque, tourist_attraction, place_of_worship, point_of_interest, establishment",Türkiye,At Meydanı Cd No:10,"Binbirdirek, At Meydanı Cd No:10, 34122 Fatih/İstanbul, Türkiye",4.7
Golden Gate Bridge,OPERATIONAL,"37.8199109,-122.4785598",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wKXrwxWYceDvVJIckc94OCThpnvSJoDQggutqCDsEyjvomGU7i7AY0Btrw_UVdk54pT0EOgUDuGtaaUzGa-450mIptrwUvd1DxWyrwN5fclRYcnnN7GYcVr2HqLqkXu9ZSrxE46M4c2hMI4MZ31I47zLAtAT9wCBqbZOKRwR_lllcb&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",United States,San Francisco,"Golden Gate Brg, San Francisco, CA, United States",4.8
Sydney Opera House,OPERATIONAL,"-33.8567844,151.2152967",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yNbZWQzzF-o_Ul0-dPx0LRuGpJLkiAKonKHTDJz_g5Ookw4L6yoyGCrUEnUWc2u1a09cmAEQ-yUVNyadK_bFALV9ld5ceJY29erPlYNrFPnc9vtXBzTJJqQ34Jyy4OpccFv-tizgx_-6STrZd5e598gOYaW1nIJPOkMctSd2cDM_Wi&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Australia,Bennelong Point,"Bennelong Point, Sydney NSW 2000, Australia",4.7
Iguazu Falls,OPERATIONAL,"-25.695259,-54.4366662",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zVCiTvbRpbBcv99OPBGJcFy4Ymk7-gtblexLt3AqIEN8V5SOyVCF-uYdUwR_SDhuz71tb4eBpsk-pswNEC3jxWwXhBlkwPgZNujQr2zCmFRQV5mCTbWHrbaR5Of6vLXAUN0tmSyV89MpCLqglz5bmU1VuKnZw8_nhyjcv73NhrXtI2&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Argentina,,"Misiones Province, Argentina",4.9
The Moscow Kremlin,OPERATIONAL,"55.7509544,37.6175755",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27w4cPOdrQDYeWBOohxEt1kbQei6EWbw0nwlUexFhUfQQuyReOODQxUDfWGpBLixoEPiVsBbJ7ZVINFYCLgNIEsxuNZ-K5-6Aw_G6EfSqNjwHAE2AzXMHw-sq0XIMTHnCSp0ifB25LS7_lq_5Nh4nLwly0aqlQZpDn4KxLz_AwdUiUnR&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, museum, point_of_interest, establishment",103132,Moscow,"Moscow, Russia, 103132",4.8
Park Güell,OPERATIONAL,"41.4144948,2.1526945",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27y8kdNmo6i8sEkOGxTuU7o4DGGqDyBaqGyepFzgLYFKusPFlDEV0dx4M9ED9cFbRi74p2sVwh3ExnFznilGq4pXEHX_sEzIYcg7ZYF0h-aaOTDO27k4-e8xvkYwQiZ9RUwL7SQaUembrXH0IvVGWSNtccFt9BtKAG63ReGCCJFPVeq3&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"park, tourist_attraction, point_of_interest, establishment",Spain,Gràcia,"Gràcia, 08024 Barcelona, Spain",4.4
Mt Kilimanjaro,,"-3.0674247,37.35562729999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xufQOLUluJKPNVTojaLfio2E1zOSDFbdXg_OcNa93-eOTjn7q8RVkmcz2RYPkL6U7dnZo1JUctCismf55yD_3_j9yZYTPDh7OnWIJQi-Zan4-sT0W_6rr7_CWANBtC8KOGEkqCtMhnVKfg0SCPRqDAX9RQdn6SJ-XeJSjGV8ihqo_H&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"natural_feature, establishment",Tanzania,,"Mt Kilimanjaro, Tanzania",4.5
Landmark Cinemas Waterloo,OPERATIONAL,"43.4388932,-80.5667885",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xU8VeOih5yJo1f8qfVwh73HITWpmWVAmfwBrvpHVpGy8Kbsg3h6ysB2oozCb6jnjyNmewe7RLn67LjKvD0fHlGbDjt1C3ANCncNDz2mPCkft8uAxL524V6eEewThQlyEcANekKZMpXRTjsunOdu0pl8smxGNmEdLviz_ZmZ2r9nas3&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"movie_theater, point_of_interest, establishment",Canada,Waterloo,"415 The Boardwalk, Waterloo, ON N2T 0A6, Canada",4.4
