name,description,coordinates,image_url,category,country,city,address,rating
Rhodes Memorial,OPERATIONAL,"-33.9523906,18.4590942",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xF65JSCY5RRNfg-qrDYfKUzEkyTdD-T2ChT7TQBkwojezLEoC3J4Kcv_DV-pYr1enChsbgVNUgXhFRzZ_8EB6KlyXaJ7-dbwxqQmG0zBv095qC-n2Q33hIl319eVUiQeuUjkCqeYpg8XIxGnod_ui50GPkCLa0nC8nj1fXDs5rkI2z&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",South Africa,Cape Town,"Rhodes Ave, Devil's Peak, Cape Town, 7700, South Africa",4.3
Hand of the Desert,OPERATIONAL,"-24.1585139,-70.1564142",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yfY3aKAKwbroSBiJPJ-7UtzXXjr8B00Rxc1Cyj9FW9M4jL7xYK7rV4_-fG1n38ZxxWqETkciGZV_5Yud74mpH0CY99iXY188-Ig4Aac12TROaEJDsd0OVyi_FLNt90RtbBUhrW_cFVQ1cxIrUa9eMbzbSjKSsfyLzgZsOnxohNM--_&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Chile,,"Antofagasta, Chile",4.7
Kinkaku-ji,OPERATIONAL,"35.03937,135.7292431",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ySX8YhANaRi9XaGMQMMndWYaBHGoovhoC58KBqloJZC0XbylQEiBrP0SwQ5A3klCMBYFiMCL8R7i_H1pzg6IXaKkduRvWT8cDJWq1ZRJqDgdhCok3yGWV_jzdzxzMB0F6UCE9Tw6TvJdJCZmuBI8TDtebDts3kStxy4OkGLCZw7BBe&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, place_of_worship, point_of_interest, establishment",Japan,Kyoto,"1 Kinkakujicho, Kita Ward, Kyoto, 603-8361, Japan",4.5
Bora Bora,,"-16.5004126,-151.7414904",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yLFwVd9BpT1VfBT7Eq1GGhhtRqOADqnh6TJinvkalf2XV5QOxC9XJaY1L5aygVhE-gqJzrfm6vKD32NWwTXB4Bpf14HNa7dA0sOmpRq00nQ9GZnn2If5yOdVsLL7K1Y0wOj1kiLBtBDlswzsXaJbp6vg3kKWH5ewFtAvHFGCn0SpOW&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"natural_feature, establishment",French Polynesia,,"Bora Bora, French Polynesia",4.6
Lago Titicaca,OPERATIONAL,"-16.0958382,-69.1364889",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zcVxWNvjZmkynR6aaJKDTxgP5lHueXpQlVb2yIvbNjm1BeeKBjViitz5m_sEltM2WgonczM6hAZMunS8Sr5bc42ZgyJJnPujAk3cjGSGaTsOucEQmiExRHnz040s7yUr48ENW1CxVvmVV89sM0_4vAIGs8GzhZ6PY-lgCHTfJq54AU&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Bolivia,WV37+MC,"WV37+MC, Cantón Sampaya, Bolivia",4.9
Erawan National Park,OPERATIONAL,"14.3754962,99.1439623",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27wSDe3aOhRab5LbqKtgHgDJ56zD8hnxq-Xs3gdp2qnLTkfntThXUQU9OYbK2NWOK5n7lE6gnOarq2Y-1MCR2C9DOY7WtMGsCs77yrd-uGFFMn7z8ooNxkfcSOJCnjjjg_j_VionrE67S1v4eP1ihp53N0F9tcsn1_srQIRPCAu0hhLK&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",Thailand,Si Sawat District,"94GV+5HW, Tha Kradan, Si Sawat District, Kanchanaburi 71250, Thailand",4.6
Hwange National Park,OPERATIONAL,"-19.1240539,26.5925913",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xaSG6ZuF_EDNEoemc2VR81ItKGm9_XFZEPqDQODHCvnQHP7gFTN2j1cX7a4iPxlK5-hTabE0ytcVtKekWZLZ1rTockm89yFTwulLZaLWZM_9D1XOW1XZEtG25IYCGRhFHoosGUbQik8AMFAbiO_67tqe8tMcWVgYo5GaH0qSVA-Sx1&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",Zimbabwe,,Zimbabwe,4.4
Carlsbad Caverns National Park,OPERATIONAL,"32.137045,-104.5437529",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xC2F9iQj9XWplk_gI94o7vjgL6rGPP0FgyMFjVE97SuXP3LihH6hnqNV21rK1cQxPpl8xr5XBzzXeAPFooLuLS7jtlC2xuNNm8AjX1-I0jr_hcfa_EJPJJiwdR3sIAwovL8FROlegkC8cNYwny9P-4-ryG5CzOnzTekJvaCRUjWBUY&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",United States,Carlsbad,"Carlsbad, NM 88220, United States",4.9
Mu Ko Ang Thong National Marine Park,OPERATIONAL,"9.6352349,99.671822",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27y27leLrQ7duOs0duExX1elYlfhOB7YD4QNkmbksdl1veT_gJ3tiTn3BXpNw4oIa_IYMqDtN5Yp6uBXzwAvzH9CBc0ZINyNA7Xkvu5MJhFDHghb3OmIMmmwIPK3eYoH9Z9tRGQaD1BNdFloeAk_tE4nKMIhEXyPEIHePGgL15UwZ3xf&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",Thailand,Ko Samui District,"Ko Samui District, Surat Thani 84280, Thailand",4.7
K2,,"35.8799875,76.5151001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xKHX7GbSWPgIXqPtqzniknLmyVYGTmWW8eRK0k8LVpEAtoEdfloOz8lpiA3IDYEmKGbQ9ROpq5SMMQwwCCBqqNs7ElNmSr5LToqxYDSXCiD8FoK_YwmmNI218yJIrLyndqtFq1KercBB9dyDfDpc-ZrwaqCncDbXFxIqSakk86C9Bs&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"natural_feature, establishment",K2,,K2,4.7
